,latitude,longitude,height,line_id
161,59.625660050383544,28.553582195130787,-6.66026607419443e-05,339
162,59.62566204125077,28.553565290940508,-6.323445943369912e-05,339
163,59.62566402094241,28.553548481620112,-5.9735600524280256e-05,339
164,59.62566599550275,28.553531715848795,-5.6098243329090896e-05,339
165,59.62566797006085,28.55351495007637,-5.231474139421825e-05,339
166,59.62566993344348,28.553498279173812,-4.840530568188622e-05,339
167,59.62567188565064,28.55348170314117,-4.4373094295390395e-05,339
168,59.6256738266824,28.553465221978463,-4.022245723866951e-05,339
169,59.625675767712,28.553448740814712,-3.592671437738358e-05,339
170,59.625677713868384,28.55343221610007,-3.147929946577647e-05,339
171,59.62567963254727,28.55341592467635,-2.695227385862249e-05,339
172,59.625681567526144,28.553399494830824,-2.224585709221334e-05,339
173,59.62568350250284,28.553383064984377,-1.7397922308191283e-05,339
174,59.62568544352156,28.553366583815606,-1.2393688737738907e-05,339
175,59.62568738966703,28.553350059096143,-7.232117512063021e-06,339
176,59.62568933581032,28.55333353437575,-1.926576488335078e-06,339
177,59.62569124192277,28.553317084036813,-2.3392311112077237e-06,706
178,59.625693114710394,28.553300771861426,-5.839697034306665e-06,706
179,59.62569497168942,28.5532845973611,-9.172671129631957e-06,706
180,59.6256968117132,28.553268570524132,-1.2341700002688141e-05,706
181,59.625698635928515,28.553252681362213,-1.5348667334943296e-05,706
